Member ID,Email Address,Website,Newsletter,Tasting,Call,Visits,Customer_Segment,Wealth Range Estimate,Status,Date
201500660,wpet15@googlemail.com,0,79.26,257.91,0,4,Casual Visitor,$400-800k,Continuing,1/1/20 1:12
201602818,brooksb@charter.net,0,0,173.68,0,1,Casual Visitor,Below $100k,Continuing,1/1/20 3:20
201602130,smarsh@me.com,0,0,201.12,0,1,Casual Visitor,$100-200k,Continuing,1/1/20 4:35
201600192,v.daniels@sbcglobal.net,0,383.51,0,0,0,Luxury Estate,$800-1200k,Continuing,1/1/20 7:11
201500143,elsv34@comcast.net,0,0,62.37,0,2,Casual Visitor,$200-400k,Continuing,1/1/20 7:12
201501003,micm81@bellsouth.net,0,0,162.36,0,4,Casual Visitor,$400-800k,Continuing,1/1/20 8:20
201603013,ramseye@comcast.net,0,333.77,0,0,0,Luxury Estate,$800-1200k,Continuing,1/1/20 8:44
201501527,k.ferguson@sbcglobal.net,0,0,47.63,0,3,Casual Visitor,$200-400k,Continuing,1/1/20 8:48
201502355,agates7@juno.com,0,0,299.82,0,2,Casual Visitor,$200-400k,Continuing,1/1/20 9:37
201500680,kfisher@att.net,121.54,0,287.33,0,4,Casual Visitor,$400-800k,Continuing,1/1/20 10:09
201500996,cbright8@googlemail.com,0,0,97.9,0,2,Casual Visitor,$200-400k,Continuing,1/1/20 13:53
201500477,jjohnson6@charter.net,0,0,120.25,0,1,Casual Visitor,$100-200k,Continuing,1/1/20 16:16
201604115,wdean3@gmail.com,0,0,115.46,0,1,Casual Visitor,Below $100k,Continuing,1/1/20 18:23
201603497,ronr43@sbcglobal.net,446.6,0,119.03,0,1,Wine Enthusiast,$100-200k,Continuing,1/1/20 19:24
201501802,j.ortega@earthlink.net,184.62,0,0,0,0,Wine Enthusiast,$100-200k,Continuing,1/1/20 19:35
201501338,curtisj@mail.com,0,0,0,166.71,0,High Roller,$400-800k,Continuing,1/1/20 21:14
201603159,jlynn1@me.com,0,0,453.94,0,3,Casual Visitor,$200-400k,Continuing,1/1/20 21:31
201600165,king3@mail.com,0,0,54.93,0,1,Casual Visitor,$100-200k,Continuing,1/1/20 21:43
